Date/Time,Word Count,en,ja,ko
2025.08.04-11.09.28,11,0,0,11
2025.08.04-11.13.55,11,11,0,11
2025.08.05-15.21.58,15,2,0,15
2025.08.05-15.24.00,15,15,0,15
2025.09.15-21.23.37,1927,0,0,1927
2025.09.15-23.56.23,1927,357,0,1927
2025.09.16-22.41.21,1927,544,0,1927
2025.09.24-14.09.28,1927,1927,0,1927
2025.09.24-21.30.33,1928,1927,0,1928
2025.09.24-21.42.32,1928,1928,0,1928
2025.09.24-21.49.40,1927,1927,0,1927
2025.10.22-10.30.27,2567,1495,0,2567
2025.10.22-11.37.32,2567,1495,2567,2567
2025.10.23-23.23.21,2567,2567,2567,2567
2025.10.23-23.24.18,2562,2562,2562,2562
2025.10.25-16.30.37,2564,2562,2562,2564
2025.10.25-16.33.41,2564,2564,2564,2564
